X (Grid)	Y (Grid)	X (m)	Y (m)	Data
7	90	30	38	0
8	90	34	38	0
9	90	38	38	0
10	90	42	38	0
11	90	46	38	0
12	90	50	38	0
13	90	54	38	0
14	90	58	38	0
15	90	62	38	0
16	90	66	38	0
17	90	70	38	0
18	90	74	38	0
19	90	78	38	0
20	90	82	38	0
21	90	86	38	0
22	90	90	38	0
23	90	94	38	0
24	90	98	38	0
25	90	102	38	0
26	90	106	38	0
27	90	110	38	0
28	90	114	38	0
29	90	118	38	0
30	90	122	38	0
31	90	126	38	0
32	90	130	38	0
33	90	134	38	0
34	90	138	38	0
35	90	142	38	0
36	90	146	38	0
37	90	150	38	0
38	90	154	38	0
39	90	158	38	0
40	90	162	38	0
41	90	166	38	0
42	90	170	38	0
43	90	174	38	0
44	90	178	38	0
45	90	182	38	0
46	90	186	38	0
47	90	190	38	0
48	90	194	38	0
49	90	198	38	0
50	90	202	38	0
51	90	206	38	0
52	90	210	38	0
53	90	214	38	0
54	90	218	38	0
55	90	222	38	0
56	90	226	38	0.038601
57	90	230	38	-0.225662
58	90	234	38	0.128053
59	90	238	38	0.119721
60	90	242	38	0.779504
61	90	246	38	2.334153
62	90	250	38	2.52362
63	90	254	38	4.193751
64	90	258	38	3.639631
65	90	262	38	3.047724
66	90	266	38	3.459433
67	90	270	38	5.525476
68	90	274	38	5.870936
69	90	278	38	5.396105
70	90	282	38	6.336167
71	90	286	38	4.080645
72	90	290	38	3.875124
73	90	294	38	3.313061
74	90	298	38	3.222798
75	90	302	38	2.912174
76	90	306	38	2.489284
77	90	310	38	0.627874
78	90	314	38	-0.464049
79	90	318	38	0
80	90	322	38	0
81	90	326	38	-0.05385
82	90	330	38	0.181582
83	90	334	38	0.789695
84	90	338	38	0.341007
85	90	342	38	0.313294
86	90	346	38	0
87	90	350	38	0
88	90	354	38	0
89	90	358	38	0
90	90	362	38	0
91	90	366	38	0
92	90	370	38	0
93	90	374	38	0
94	90	378	38	0
95	90	382	38	0
96	90	386	38	0
97	90	390	38	0
98	90	394	38	0
99	90	398	38	0
0	89	2	42	0
1	89	6	42	0
2	89	10	42	0
3	89	14	42	0
4	89	18	42	0
5	89	22	42	0
6	89	26	42	0
7	89	30	42	0
8	89	34	42	0
9	89	38	42	0
10	89	42	42	0
11	89	46	42	0
12	89	50	42	0
13	89	54	42	0
14	89	58	42	0
15	89	62	42	0
16	89	66	42	0
17	89	70	42	0
18	89	74	42	0
19	89	78	42	0
20	89	82	42	0
21	89	86	42	0
22	89	90	42	0
23	89	94	42	0
24	89	98	42	0
25	89	102	42	0
26	89	106	42	0
27	89	110	42	0
28	89	114	42	0
29	89	118	42	0
30	89	122	42	0
31	89	126	42	0
32	89	130	42	0
33	89	134	42	0
34	89	138	42	0
35	89	142	42	0
36	89	146	42	0
37	89	150	42	0
38	89	154	42	0
39	89	158	42	0
40	89	162	42	0
41	89	166	42	0
42	89	170	42	0
43	89	174	42	0
44	89	178	42	0
45	89	182	42	0
46	89	186	42	0
47	89	190	42	0
48	89	194	42	0
49	89	198	42	0
50	89	202	42	0
51	89	206	42	0
52	89	210	42	0
53	89	214	42	0
54	89	218	42	0
55	89	222	42	0
56	89	226	42	0
57	89	230	42	-0.514645
58	89	234	42	-0.864092
59	89	238	42	-0.650356
60	89	242	42	2.147756
61	89	246	42	2.951161
62	89	250	42	4.515152
63	89	254	42	4.192737
64	89	258	42	3.465684
65	89	262	42	4.265057
66	89	266	42	7.205178
67	89	270	42	9.856383
68	89	274	42	14.797178
69	89	278	42	19.818108
70	89	282	42	13.112374
71	89	286	42	9.623662
72	89	290	42	4.92057
73	89	294	42	3.788648
74	89	298	42	3.721865
75	89	302	42	4.152208
76	89	306	42	2.838612
77	89	310	42	1.947349
78	89	314	42	-0.321383
79	89	318	42	-1.354063
80	89	322	42	-0.783158
81	89	326	42	0.291135
82	89	330	42	0.599737
83	89	334	42	0.763355
84	89	338	42	0.810333
85	89	342	42	0.927221
86	89	346	42	0.42117
87	89	350	42	0
88	89	354	42	0
89	89	358	42	0
90	89	362	42	0
91	89	366	42	0
92	89	370	42	0
93	89	374	42	0
94	89	378	42	0
95	89	382	42	0
96	89	386	42	0
97	89	390	42	0
98	89	394	42	0
99	89	398	42	0
0	88	2	46	0
1	88	6	46	0
2	88	10	46	0
3	88	14	46	0
4	88	18	46	0
5	88	22	46	0
6	88	26	46	0
7	88	30	46	0
8	88	34	46	0
9	88	38	46	0
10	88	42	46	0
11	88	46	46	0
12	88	50	46	0
13	88	54	46	0
14	88	58	46	0
15	88	62	46	0
16	88	66	46	0
17	88	70	46	0
18	88	74	46	0
19	88	78	46	0
20	88	82	46	0
21	88	86	46	0
22	88	90	46	0
23	88	94	46	0
24	88	98	46	0
25	88	102	46	0
26	88	106	46	0
27	88	110	46	0
28	88	114	46	0
29	88	118	46	0
30	88	122	46	0
31	88	126	46	0
32	88	130	46	0
33	88	134	46	0
34	88	138	46	0
35	88	142	46	0
36	88	146	46	0
37	88	150	46	0
38	88	154	46	0
39	88	158	46	0
40	88	162	46	0
41	88	166	46	0
42	88	170	46	0
43	88	174	46	0
44	88	178	46	0
45	88	182	46	0
46	88	186	46	0
47	88	190	46	0
48	88	194	46	0
49	88	198	46	0
50	88	202	46	0
51	88	206	46	0
52	88	210	46	0
53	88	214	46	0
54	88	218	46	0
55	88	222	46	0
56	88	226	46	0
57	88	230	46	0
58	88	234	46	0
59	88	238	46	0.225527
60	88	242	46	2.521197
61	88	246	46	3.99059
62	88	250	46	4.443964
63	88	254	46	4.604926
64	88	258	46	5.075625
65	88	262	46	8.278678
66	88	266	46	15.754492
67	88	270	46	27.378225
68	88	274	46	42.949589
69	88	278	46	-999
70	88	282	46	37.66655
71	88	286	46	16.850092
72	88	290	46	10.384839
73	88	294	46	5.368752
74	88	298	46	4.426774
75	88	302	46	3.368305
76	88	306	46	3.273992
77	88	310	46	2.410663
78	88	314	46	1.026568
79	88	318	46	-0.787499
80	88	322	46	-0.028962
81	88	326	46	0.643576
82	88	330	46	1.028654
83	88	334	46	0.642359
84	88	338	46	1.386261
85	88	342	46	1.417384
86	88	346	46	0.949133
87	88	350	46	0.33985
88	88	354	46	0
89	88	358	46	0
90	88	362	46	0
91	88	366	46	0
92	88	370	46	0
93	88	374	46	0
94	88	378	46	0
95	88	382	46	0
96	88	386	46	0
97	88	390	46	0
98	88	394	46	0
99	88	398	46	0
0	87	2	50	0
1	87	6	50	0
2	87	10	50	0
3	87	14	50	0
4	87	18	50	0
5	87	22	50	0
6	87	26	50	0
7	87	30	50	0
8	87	34	50	0
9	87	38	50	0
10	87	42	50	0
11	87	46	50	0
12	87	50	50	0
13	87	54	50	0
14	87	58	50	0
15	87	62	50	0
16	87	66	50	0
17	87	70	50	0
18	87	74	50	0
19	87	78	50	0
20	87	82	50	0
21	87	86	50	0
22	87	90	50	0
23	87	94	50	0
24	87	98	50	0
25	87	102	50	0
26	87	106	50	0
27	87	110	50	0
28	87	114	50	0
29	87	118	50	0
30	87	122	50	0
31	87	126	50	0
32	87	130	50	0
33	87	134	50	0
34	87	138	50	0
35	87	142	50	0
36	87	146	50	0
37	87	150	50	0
38	87	154	50	0
39	87	158	50	0
40	87	162	50	0
41	87	166	50	0
42	87	170	50	0
43	87	174	50	0
44	87	178	50	0
45	87	182	50	0
46	87	186	50	0
47	87	190	50	0
48	87	194	50	0
49	87	198	50	0
50	87	202	50	0
51	87	206	50	0
52	87	210	50	0
53	87	214	50	0
54	87	218	50	0
55	87	222	50	0
56	87	226	50	0
57	87	230	50	0
58	87	234	50	0.81245
59	87	238	50	2.085287
60	87	242	50	3.524552
